H3MeK4_N,CaNA_N,class,grade,H3MeK4_N_normalized,CaNA_N_standardized
0.128185603,1.67565235,5,A,-0.3920676994906874,1.0659009079901893
0.1311187,1.743609645,5,D,-0.3670956467463479,1.280291183929141
0.127431075,1.926426587,5,D,-0.3984916646759783,1.8570383108077975
0.146901093,1.700563438,5,C,-0.23272615592217974,1.1444898958282061
0.148379919,1.839730218,5,A,-0.2201356003177451,1.583530389799241
0.14218043,1.816388575,5,C,-0.27291734135663775,1.5098926547534524
0.157498978,1.528483858,5,A,-0.14249697386701932,0.6016167776492243
0.159409283,1.652658228,5,B,-0.12623285535413836,0.9933595250444153
0.158235497,1.834599448,5,B,-0.1362263352501553,1.567343942176815
0.192333633,1.516861511,5,D,0.15408129885661404,0.5649508364814921
0.193054604,1.613548092,5,B,0.16021956357787587,0.8699756727434974
0.195528744,1.722971374,5,D,0.18128410886119944,1.2151819912428687
0.214088398,1.426933702,5,D,0.33929888253035956,0.28124843505283936
0.22528477,1.500070314,5,D,0.4346235145248848,0.5119783136908879
0.224212034,1.613896848,5,A,0.42549036278365304,0.8710759209961001
0.163994829,1.297220427,5,B,-0.08719204062022567,-0.1279683358647654
0.15820598,1.363189369,5,C,-0.13647763961576437,0.0801491249432421
0.15854319,1.404481451,5,C,-0.13360667220284933,0.21041653558802748
0.195738683,1.170038136,5,A,0.18307150552114412,-0.5292004105381032
0.16997737,1.272986338,5,B,-0.03625737006648221,-0.20442154118788985
0.159939582,1.279936226,5,A,-0.12171795025612418,-0.18249617753024538
0.239907346,1.178248401,5,B,0.5591184559230429,-0.5032988354550763
0.197067118,1.219966159,5,C,0.19438164933412647,-0.37168851092443705
0.183547103,1.246130031,5,A,0.07927378631961916,-0.28914726590119944
0.233123804,1.077480186,5,A,0.5013641543716647,-0.8212003266743133
0.206741266,1.144377729,5,B,0.276746240110547,-0.6101533345389164
0.243806306,1.238457207,5,C,0.5923137558971215,-0.3133533331761114
0.267758702,0.981414396,5,A,0.7962417188200347,-1.1242667042632593
0.217620723,0.994403582,5,A,0.3693726940034027,-1.0832886875431653
0.208285574,1.030948092,5,D,0.28989430198149957,-0.9679988193553013
0.101787008,1.649982724,5,D,-0.616822321215253,0.9849189000778719
0.101787008,1.63898847,5,B,-0.616822321215253,0.9502344537825486
0.101787008,1.564924819,5,C,-0.616822321215253,0.71657997158257
0.101787008,1.68222208,5,B,-0.616822321215253,1.086626957011776
0.101787008,1.660352255,5,A,-0.616822321215253,1.0176324831074424
0.101787008,1.61081609,5,B,-0.616822321215253,0.8613568090490876
0.101787008,1.727380518,5,C,-0.616822321215253,1.229091868009072
0.101787008,1.650846275,5,D,-0.616822321215253,0.9876432130037666
0.101787008,1.555326991,5,B,-0.616822321215253,0.6863009412984101
0.101787008,1.655576382,5,D,-0.616822321215253,1.002565657238058
0.101787008,1.681702521,5,D,-0.616822321215253,1.0849878629693104
0.101787008,1.585792952,5,C,-0.616822321215253,0.7824143281766743
0.101787008,1.615575808,5,D,-0.616822321215253,0.8763726694568865
0.101787008,1.561913696,5,D,-0.616822321215253,0.7070805427007092
0.101787008,1.530457516,5,A,-0.616822321215253,0.6078432332965412
0.101787008,1.680398751,5,A,-0.616822321215253,1.080874756200406
0.101787008,1.720906651,5,A,-0.616822321215253,1.2086682456073554
0.101787008,1.645763881,5,B,-0.616822321215253,0.9716093809907285
0.101787008,1.699259836,5,A,-0.616822321215253,1.1403773190622446
0.101787008,1.705363309,5,B,-0.616822321215253,1.159632430094194
0.101787008,1.68242681,5,A,-0.616822321215253,1.0872728350031373
0.101787008,1.653051034,5,D,-0.616822321215253,0.9945987413306209
0.101787008,1.653808878,5,B,-0.616822321215253,0.9969895719880019
0.101787008,1.607118742,5,C,-0.616822321215253,0.8496924916573737
0.101787008,1.739865311,5,B,-0.616822321215253,1.2684786360714368
0.101787008,1.718461944,5,C,-0.616822321215253,1.2009557342674047
0.101787008,1.690157637,5,A,-0.616822321215253,1.111661888948947
0.101787008,1.73015873,5,B,-0.616822321215253,1.2378565140606395
0.101787008,1.633585331,5,B,-0.616822321215253,0.9331887420433378
0.101787008,1.613042782,5,A,-0.616822321215253,0.8683815311530363
0.101787008,1.817861857,5,C,-0.616822321215253,1.514540534491984
0.101787008,1.769404892,5,D,-0.616822321215253,1.361669498387411
0.101787008,1.723144672,5,D,-0.616822321215253,1.2157287082073926
0.101787008,1.682969895,5,D,-0.616822321215253,1.088986148386319
0.101787008,1.753591759,5,B,-0.616822321215253,1.3117825517788189
0.101787008,1.72409726,5,D,-0.616822321215253,1.2187339132288126
0.101787008,1.626290753,5,A,-0.616822321215253,0.9101759574662264
0.101787008,1.61497516,5,A,-0.616822321215253,0.8744777575057533
0.101787008,1.586359293,5,D,-0.616822321215253,0.7842010091101269
0.101787008,1.538291402,5,C,-0.616822321215253,0.6325574156549516
0.101787008,1.577964912,5,C,-0.616822321215253,0.7577185886587737
0.101787008,1.547757181,5,A,-0.616822321215253,0.6624198604710249
0.101787008,1.392008639,5,D,-0.616822321215253,0.1710675649379346
